"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/asteriskjava/config/dialplan/ConfigExtension.<init>:(Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;[Ljava/lang/String;)V","1","5","5","4","0","27","15","105.48604608143","2.0","210.97209216286","0.03516201536047667","0","0","0","14","13","String String[]","","<init>","","","public","5"
"org/asteriskjava/config/dialplan/ConfigExtension.rawFormat:(Ljava/lang/StringBuilder;)Ljava/lang/StringBuilder;","1","1","1","1","0","9","7","25.26619429851844","1.0","25.26619429851844","0.008422064766172813","0","0","0","5","4","StringBuilder","toString","append","","","protected","1"
"org/asteriskjava/config/dialplan/ConfigExtension.toString:()Ljava/lang/String;","1","0","0","0","0","37","19","157.17331799741265","4.0","628.6932719896506","0.05239110599913755","0","1","0","18","19","","","toString <init> append asList","","","public","1"
"org/asteriskjava/config/dialplan/ConfigExtension.getName:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/dialplan/ConfigExtension.getPriority:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/dialplan/ConfigExtension.getApplication:()[Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/dialplan/ConfigInclude.<init>:(Ljava/lang/String;ILjava/lang/String;)V","1","3","3","2","0","15","11","51.89147427955947","2.0","103.78294855911894","0.01729715809318649","0","0","0","8","7","String","","<init>","","","public","3"
"org/asteriskjava/config/dialplan/ConfigInclude.rawFormat:(Ljava/lang/StringBuilder;)Ljava/lang/StringBuilder;","1","1","1","1","0","9","7","25.26619429851844","1.0","25.26619429851844","0.008422064766172813","0","0","0","5","4","StringBuilder","toString","append","","","protected","1"
"org/asteriskjava/config/dialplan/ConfigInclude.toString:()Ljava/lang/String;","1","0","0","0","0","17","14","64.72503367497926","3.0","194.17510102493776","0.021575011224993085","0","1","0","9","8","","","toString <init> append","","","public","1"
"org/asteriskjava/config/dialplan/ConfigInclude.getName:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/dialplan/ExtensionsConfigFile.<init>:(Ljava/lang/String;Ljava/util/Map;)V","1","2","2","2","0","9","7","25.26619429851844","1.0","25.26619429851844","0.008422064766172813","0","0","0","5","4","String Map","","<init>","","","public","2"
"org/asteriskjava/config/dialplan/ExtensionsConfigFile.getContexts:()Ljava/util/Collection;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","values","","","public","1"
"org/asteriskjava/config/dialplan/ExtensionsConfigFileReader.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
