"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/mozilla/hadoop/fs/TextFileDirectoryReader.<init>:(Lorg/apache/hadoop/fs/Path;)V","4","1","3","3","0","109","47","605.4501848328625","10.0","6054.501848328626","0.20181672827762084","0","2","1","59","50","Path FileStatus","","add iterator getName toUri get getPath listStatus <init> isDir startsWith","IOException","","public","11"
"com/mozilla/hadoop/fs/TextFileDirectoryReader.nextReader:()Z","2","0","0","0","0","58","28","278.826585479341","7.0","1951.7860983553871","0.09294219515978033","0","3","0","33","25","","","next hasNext <init> close open","IOException","","private","7"
"com/mozilla/hadoop/fs/TextFileDirectoryReader.close:()V","3","0","2","2","0","43","18","179.30677506201943","8.0","1434.4542004961554","0.059768925020673144","0","0","0","23","20","IOException","","error close","","","public","11"
"com/mozilla/hadoop/fs/TextFileDirectoryReader.next:()Ljava/lang/String;","4","0","2","1","0","43","18","179.30677506201943","18.0","3227.5219511163496","0.059768925020673144","0","0","0","25","18","String","nextReader","readLine","IOException","","public","9"
"com/mozilla/hadoop/fs/TextFileDirectoryReader.main:([Ljava/lang/String;)V","4","1","5","5","0","79","30","387.64435705307295","14.0","5427.020998743022","0.12921478568435765","0","2","1","47","32","String TextFileDirectoryReader IOException String[]","next <init> close","println <init> error","","","public static","15"
"com/mozilla/hadoop/fs/TextFileDirectoryReader.<clinit>:()V","1","0","0","0","0","6","6","15.509775004326936","1.0","15.509775004326936","0.005169925001442312","0","0","0","3","3","","","getLogger","","","static","1"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.<init>:(Lcom/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat;)V","1","1","1","1","0","41","15","160.18251441994926","2.0","320.3650288398985","0.05339417147331642","0","0","0","24","17","MultiScanTableInputFormat","","<init>","","","protected","7"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.restart:([B)V","1","1","2","2","0","31","20","133.97977094150824","5.0","669.8988547075412","0.04465992364716941","0","1","0","17","14","Scan byte[]","","setStartRow <init> getScanner","IOException","","public","4"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.init:()V","1","0","0","0","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","","restart","getStartRow","IOException","","public","2"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.setHTable:(Lorg/apache/hadoop/hbase/client/HTable;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","HTable","","","","","public","2"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.setScan:(Lorg/apache/hadoop/hbase/client/Scan;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Scan","","","","","public","2"
